Human N 0106
Probe Array Lot: 1004872
Operator Name: JB
Sample Type: Human Normal
Sample Description: exp.  3/17/02
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:82, Count:32
Corner- Avg:7913, Count:32
BF= Alpha1=0.04 Alpha2=0.06 Tau=0.015 Gamma1H=0.0025 Gamma1L=0.0025 Gamma2H=0.003 Gamma2L=0.003 Perturbation=1.1 TGT=500 NF=1.000000 SF=5.707668 SFGene=All 
Background=Avg:54.31,Stdev:0.88,Max:56.8,Min:52.0 Noise=Avg:2.17,Stdev:0.10,Max:2.5,Min:2.0 RawQ=1.96 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
31324_at	16	16	97.4	A	0.189687																															
31325_at	16	16	100.1	A	0.438361																															
31326_at	16	16	102.7	A	0.732537																															
31327_at	16	16	7.9	A	0.901946																															
31328_at	16	16	185.3	A	0.358690																															
31329_at	16	16	55.8	P	0.005643																															
31330_at	16	16	5455.2	P	0.000266																															
31331_at	16	16	16.2	A	0.749276																															
31332_at	16	16	18.7	A	0.541184																															
31333_at	16	16	13.2	A	0.749276																															
31334_at	16	16	39.1	A	0.660442																															
31335_at	16	16	180.6	A	0.234557																															
31336_at	16	16	2.5	A	0.988553																															
31337_at	16	16	409.7	A	0.500000																															
31338_at	16	16	28.6	A	0.339558																															
31339_at	16	16	76.9	A	0.302547																															
31340_at	16	16	30.0	A	0.621816																															
31341_at	16	16	80.9	A	0.732537																															
31342_at	16	16	94.0	A	0.358690																															
31343_at	16	16	8.8	A	0.824011																															
31344_at	16	16	160.7	A	0.302547																															
31345_at	16	16	7.9	A	0.697453																															
31346_at	16	16	171.2	A	0.458816																															
31347_at	16	16	45.0	A	0.824011																															
31348_at	16	16	11.4	A	0.918663																															
31349_at	16	16	28.0	A	0.964837																															
31350_at	16	16	180.1	A	0.339558																															
31351_at	16	16	13.4	A	0.933168																															
31352_at	16	16	78.5	A	0.234557																															
31353_f_at	16	16	229.1	A	0.284747																															
31354_r_at	16	16	47.5	A	0.872355																															
31355_at	16	16	25.9	A	0.795978																															
31356_at	16	16	109.1	A	0.089405																															
31357_at	16	16	14.1	A	0.458816																															
31358_at	16	16	6.2	A	0.882879																															
31359_at	16	16	1.4	A	0.994357																															
31360_at	16	16	45.0	A	0.458816																															
31361_at	16	16	14.0	A	0.960635																															
31362_at	16	16	114.8	A	0.218983																															
31363_at	16	16	120.3	A	0.138765																															
31364_i_at	15	15	87.0	A	0.167138																															
31365_f_at	16	16	41.7	A	0.339558																															
31366_at	16	16	23.6	A	0.933135																															
31367_at	16	16	54.4	A	0.749276																															
31368_at	16	16	116.5	A	0.320830																															
31369_at	16	16	6.1	A	0.945530																															
31370_at	16	16	39.8	A	0.267463																															
31371_at	16	16	23.8	A	0.781017																															
31372_at	16	16	97.7	A	0.397994																															
31373_at	16	16	38.4	A	0.520620																															
31374_at	16	16	10.1	A	0.992457																															
31375_at	16	16	84.1	A	0.602006																															
31376_at	16	16	8.5	A	0.939581																															
31377_r_at	16	16	87.4	A	0.267463																															
31378_at	16	16	234.9	A	0.189687																															
31379_at	16	16	61.5	A	0.089405																															
31380_at	16	16	61.4	A	0.697453																															
31381_at	16	16	110.9	A	0.500000																															
31382_f_at	16	16	27.4	A	0.378184																															
31383_at	16	16	31.4	A	0.250724																															
31384_at	16	16	51.0	A	0.939581																															
31385_at	16	16	9274.4	P	0.000219																															
31386_at	16	16	657.9	A	0.218983																															
31387_at	16	16	54.9	A	0.810313																															
31388_at	16	16	7.5	A	0.988553																															
31389_at	16	16	125.5	A	0.098054																															
31390_at	16	16	5.2	A	0.926170																															
31391_at	16	16	463.2	A	0.162935																															
31392_r_at	16	16	67.7	P	0.017001																															
31393_r_at	16	16	680.0	A	0.837065																															
31394_at	16	16	27.0	A	0.602006																															
31395_i_at	13	13	10.4	A	0.901974																															
31396_r_at	16	16	547.9	A	0.561639																															
31397_at	16	16	34.5	A	0.127645																															
31398_at	16	16	15.0	A	0.849473																															
31399_at	16	16	138.7	A	0.060419																															
31400_at	16	16	7.7	A	0.749276																															
31401_r_at	16	16	2.1	A	0.939581																															
31402_at	16	16	460.2	A	0.073830																															
31403_at	16	16	15.3	A	0.284747																															
31404_at	16	16	78.1	A	0.837065																															
31405_at	16	16	32.6	A	0.795978																															
31406_at	16	16	83.8	A	0.933135																															
31407_at	16	16	12.8	A	0.926204																															
31408_at	16	16	50.6	A	0.358690																															
31409_at	16	16	3.0	A	0.765443																															
31410_at	16	16	480.9	A	0.073830																															
31411_at	16	16	9.6	A	0.972140																															
31412_at	16	16	14.3	A	0.765443																															
31413_at	16	16	170.5	A	0.302547																															
31414_at	16	16	60.3	A	0.641310																															
31415_at	16	16	14.1	A	0.882840																															
31416_at	16	16	93.8	A	0.081337																															
31417_at	16	16	315.7	A	0.089405																															
31418_at	16	16	57.9	M	0.048995																															
31419_r_at	16	16	2117.0	A	0.302547																															
31420_at	16	16	13.0	A	0.918663																															
